2020-01-26,ALL,1
2020-01-26,Hokkaido,0
2020-01-26,Aomori,0
2020-01-26,Iwate,0
2020-01-26,Miyagi,0
2020-01-26,Akita,0
2020-01-26,Yamagata,0
2020-01-26,Fukushima,0
2020-01-26,Ibaraki,0
2020-01-26,Tochigi,0
2020-01-26,Gunma,0
2020-01-26,Saitama,0
2020-01-26,Chiba,0
2020-01-26,Tokyo,0
2020-01-26,Kanagawa,0
2020-01-26,Niigata,0
2020-01-26,Toyama,0
2020-01-26,Ishikawa,0
2020-01-26,Fukui,0
2020-01-26,Yamanashi,0
2020-01-26,Nagano,0
2020-01-26,Gifu,0
2020-01-26,Shizuoka,0
2020-01-26,Aichi,1
2020-01-26,Mie,0
2020-01-26,Shiga,0
2020-01-26,Kyoto,0
2020-01-26,Osaka,0
2020-01-26,Hyogo,0
2020-01-26,Nara,0
2020-01-26,Wakayama,0
2020-01-26,Tottori,0
2020-01-26,Shimane,0
2020-01-26,Okayama,0
2020-01-26,Hiroshima,0
2020-01-26,Yamaguchi,0
2020-01-26,Tokushima,0
2020-01-26,Kagawa,0
2020-01-26,Ehime,0
2020-01-26,Kochi,0
2020-01-26,Fukuoka,0
2020-01-26,Saga,0
2020-01-26,Nagasaki,0
2020-01-26,Kumamoto,0
2020-01-26,Oita,0
2020-01-26,Miyazaki,0
2020-01-26,Kagoshima,0
2020-01-26,Okinawa,0
2020-01-27,ALL,0
2020-01-27,Hokkaido,0
2020-01-27,Aomori,0
2020-01-27,Iwate,0
2020-01-27,Miyagi,0
2020-01-27,Akita,0
2020-01-27,Yamagata,0
2020-01-27,Fukushima,0
2020-01-27,Ibaraki,0
2020-01-27,Tochigi,0
2020-01-27,Gunma,0
2020-01-27,Saitama,0
2020-01-27,Chiba,0
2020-01-27,Tokyo,0
2020-01-27,Kanagawa,0
2020-01-27,Niigata,0
2020-01-27,Toyama,0
2020-01-27,Ishikawa,0
2020-01-27,Fukui,0
2020-01-27,Yamanashi,0
2020-01-27,Nagano,0
2020-01-27,Gifu,0
2020-01-27,Shizuoka,0
2020-01-27,Aichi,0
2020-01-27,Mie,0
2020-01-27,Shiga,0
2020-01-27,Kyoto,0
2020-01-27,Osaka,0
2020-01-27,Hyogo,0
2020-01-27,Nara,0
